Title: The Rotation of M Dwarfs Observed by the Apache Point 
       Galactic Evolution Experiment 
Authors: Gilhool S.H., Blake C.H., Terrien R.C., Bender C., 
         Mahadevan S., Deshpande R. 
Table: v sin i Results
================================================================================
Byte-by-byte Description of file: ajaa9c7ct4_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units    Label       Explanations
--------------------------------------------------------------------------------
   1- 17 A17    ---      ID          2MASS identifier
  19- 30 F12.8  deg      RAdeg       Right Ascension in decimal degrees (J2000)
  32- 44 F13.9  deg      DEdeg       Declination in decimal degrees (J2000)
  46- 49 I4     K        Teff-ASPCAP ASPCAP derived effective temperature
  51- 54 I4     K        Teff-VFIT   VFIT derived effective temperature
  56- 59 F4.1   [Sun]    [M/H]       VFIT derived metallicity
  61- 63 F3.1   [cm/s2]  logg        VFIT derived log surface gravity
  65- 65 A1     ---    l_vsini       Limit flag on vsini  
  66- 70 F5.2   km/s     vsini       VFIT derived projected rotation velocity
  72- 74 F3.1   km/s   e_vsini       ? Uncertainty in vsini  
--------------------------------------------------------------------------------
2M05062444+2230199  76.601841    22.505548    3003 3000 -0.0 5.0 < 8.0      
2M05104796+2410125  77.699863    24.170149    3242 3200 -0.0 5.0 < 8.0      
2M05160907+2305202  79.037795    23.088959    3437 3400 -0.0 4.5 < 8.0      
2M05171875+2320177  79.328147    23.338255    3332 3300 -0.0 4.5 < 8.0      
2M05181814+2426180  79.575622    24.438339    3304 3300 -0.5 5.0 < 8.0      
2M05210188+3425119  80.257859    34.419991    3144 3100 +0.5 5.0 < 8.0      
2M05243459+2940434  81.144127    29.678741    3249 3200 -0.0 4.5  14.1  1.6 
2M05255532+3528438  81.480519    35.478859    3097 3000 -0.0 5.0 < 8.0      
2M05282466+3944589  82.102786    39.749706    3661 3700 -0.5 4.5 < 8.0      
2M05292369+2619582  82.348730    26.332836    3699 3800 -0.0 5.0 < 8.0      
2M05292729+2724457  82.363726    27.412695    3911 4000 -0.0 4.5 < 8.0      
2M05313118+3916413  82.879940    39.278164    3732 3700 -0.5 4.5   9.42 1.5 
2M05313731+4128000  82.905464    41.466667    3622 3700 -0.5 4.5 < 8.0      
2M05320969+2754534  83.040394    27.914845    2865 2900 -0.0 5.5   8.36 1.7 
2M05325989+2608271  83.249549    26.140879    3342 3400 +0.5 5.5  47.7  2.3 
2M05343882+2646318  83.661783    26.775509    3303 3300 -0.0 5.0 < 8.0      
2M05344102+2345373  83.670946    23.760366    3551 3500 -0.5 4.5 < 8.0      
2M05352750+2558217  83.864597    25.972712    3552 3500 -0.0 4.5 < 8.0      
2M05392474+4038437  84.853102    40.645485    2627 2600 -0.0 5.0 < 8.0      
2M05402570+2448090  85.107108    24.802505    2799 2800 -0.0 5.0  25.9  1.7 
2M05405944+4451075  85.247707    44.852085    3795 3800 -0.0 4.5 < 8.0      
2M05424060+6134403  85.669180    61.577881    3153 3100 +0.5 5.0 < 8.0      
2M05425532+2032498  85.730537    20.547194    3729 3800 -0.5 4.5 < 8.0      
2M05430330+2307473  85.763789    23.129816    3350 3300 -0.0 5.0 < 8.0      
2M05431104+2429510  85.796016    24.497520    3230 3200 -0.0 5.0 < 8.0      
2M05433934+1212368  85.913952    12.210247    3550 3600 -0.5 4.5 < 8.0      
2M05444137+2120494  86.172402    21.347078    3335 3300 -0.5 4.5 < 8.0      
2M05470652+2913272  86.777205    29.224243    3396 3300 +0.5 4.5 < 8.0      
2M05470907-0512106  86.787800    -5.2029690   3149 3100 +0.5 5.0 < 8.0      
2M05471262+3452336  86.802622    34.876019    3298 3200 -0.0 4.5 < 8.0      
2M05483220+2119180  87.134207    21.321693    3334 3300 -0.0 5.0 < 8.0      
2M05483253+2117577  87.135550    21.299368    3789 3800 -0.5 4.5 < 8.0      
2M05504636+1107476  87.693196    11.129915    3482 3400 -0.0 4.5 < 8.0      
2M05513253+1148359  87.885556    11.809979    3585 3500 -0.5 4.5 < 8.0      
2M05531424+1742115  88.309373    17.703199    3288 3300 +0.5 5.5 < 8.0      
2M05571864+1708299  89.327684    17.141666    3180 3200 -0.5 4.5 < 8.0      
2M05580690+1557564  89.528757    15.965684    3418 3500 -0.5 4.5 < 8.0      
2M05593985+3040401  89.916050    30.677822    3840 3800 -0.0 4.5 < 8.0      
2M06000658+2936555  90.027432    29.615433    3185 3200 -0.0 5.0 < 8.0      
2M06025298+3129415  90.720790    31.494867    3259 3200 -0.5 4.5 < 8.0      
2M06043950+2753529  91.164594    27.898035    3560 3600 -0.0 4.5 < 8.0      
2M06070493+1403109  91.770553    14.053038    3246 3200 -0.0 5.0 < 8.0      
2M06075349+2746207  91.972899    27.772421    3788 3900 -0.0 5.0 < 8.0      
2M06081784+0934466  92.074349     9.5796210   3199 3100 -0.0 4.5 < 8.0      
2M06090208+2633257  92.258676    26.557154    3560 3500 -0.0 4.5 < 8.0      
